Keyword,Keyword Category,Clicks,Impression,CTR,Position,Clicks Change,Impression Change,CTR Change,Position Change
atopische haut,"Indication, Skin type",180,12896,1.4%,4.77,-9.5%,29.3%,-0.6%,0.58
trockene haut,"Skin problem, Skin type",162,64687,0.3%,11.66,25.6%,31.2%,0.0%,-0.7
hautrötungen im gesicht,Skin problem,146,5534,2.6%,3.52,33.9%,134.4%,-2.0%,1.18
apotheke essen hbf,Apotheke,124,3320,3.7%,4.24,853.8%,51.2%,3.1%,-3.78
dehydrierte haut,"Skin problem,  Skin type",90,6154,1.5%,4.98,-48.9%,22.4%,-2.0%,1.34
rötungen im gesicht,Skin problem,75,20692,0.4%,7.46,-73.7%,5.0%,-1.1%,3.02
sonnencreme rosacea,"Indication, Product Category",66,4771,1.4%,10.62,2100.0%,371.9%,1.1%,-13.51
atopie haut,Indication,57,3007,1.9%,3.75,-35.2%,0.4%,-1.0%,0.29
rosacea sonnencreme,"Indication, Product Category",49,3364,1.5%,8.96,4800.0%,1159.9%,1.1%,-11.42
sonnencreme bei rosacea,"Indication, Product Category, Question",43,3377,1.3%,10.47,0.0%,1677.4%,1.3%,-27.57
hautrötungen gesicht,Skin problem,43,1545,2.8%,2.49,-24.6%,12.8%,-1.4%,0.1
essen hbf apotheke,Apotheke,43,1017,4.2%,3.9,1333.3%,71.8%,3.7%,-3.92
wie sieht ein ekzem aus,"Indication, Question",41,5749,0.7%,6.92,0.0%,45.7%,-0.3%,-2.38
seborrhoisches ekzem oder schuppenflechte,"Indication, Question",39,563,6.9%,2.14,-62.9%,-9.2%,-10.0%,0.39
sonnenschutz rosacea,"Indication, Product Category",38,2697,1.4%,9.85,1800.0%,182.1%,1.2%,-3.44
gehen pickelmale von alleine weg,"Skin problem, Question",38,1005,3.8%,1.65,0.0%,-0.1%,0.0%,0.37
bb cream rosacea,"Indication, Product Category, Product Texture",36,1224,2.9%,5.79,100.0%,22.9%,1.1%,2.61
ekzem,Indication,35,7939,0.4%,22.9,150.0%,166.4%,0.0%,-5.23
dehydrierte haut behandeln,"Skin problem, Skin type",32,746,4.3%,3.36,45.5%,1.1%,1.3%,-1.84
melasma,Indication,30,28063,0.1%,11.29,87.5%,44.4%,0.0%,0.02
große schuppen kopfhaut,Skin problem,30,2861,1.0%,4.34,-36.2%,-11.0%,-0.4%,0.23
schuppenflechte oder seborrhoisches ekzem,"Indication, Question",30,140,21.4%,1.35,-41.2%,-28.2%,-4.7%,0.18
atopische diathese,Indication,25,4659,0.5%,6.7,-57.6%,5.8%,-0.8%,-0.03
pickelmale entfernen,Skin problem,24,3680,0.7%,16.1,-64.7%,-45.4%,-0.4%,6.09
ekzem arten,Indication,24,624,3.8%,4.93,118.2%,39.6%,1.4%,-0.84
plötzlich trockene haut im gesicht,"Skin problem, Skin type",23,3317,0.7%,8.54,-42.5%,23.1%,-0.8%,3.05
haut spannt im gesicht,Skin problem,23,781,2.9%,5.41,4.5%,27.6%,-0.6%,-0.31
psoriasis oder seborrhoisches ekzem,"Indication, Question",23,204,11.3%,2.16,9.5%,10.9%,-0.1%,0.28
seborrhoisches ekzem,Indication,22,1933,1.1%,25.3,-18.5%,-5.1%,-0.2%,3.24
sonnencreme gesicht rosacea,"Indication, Product Category",22,1248,1.8%,9.44,0.0%,1735.3%,1.8%,-21.99
dandruff deutsch,"Skin problem, Question",22,854,2.6%,2.23,0.0%,0.0%,2.6%,2.23
welches mizellenwasser bei rosacea,"Indication, Product Category, Question",21,238,8.8%,1.75,50.0%,88.9%,-2.3%,-0.49
schuppen kopfhaut,Skin problem,20,9084,0.2%,11.57,-87.9%,-73.9%,-0.3%,2.81
sonnenschutz bei rosacea,"Indication, Product Category, Question",20,2153,0.9%,9.99,900.0%,832.0%,0.1%,-5.96
was ist atopische haut,"Indication, Question",20,1658,1.2%,4.64,33.3%,81.4%,-0.4%,0.51
rötung nach pickel geht nicht weg,Skin problem,20,1035,1.9%,5.2,25.0%,-3.5%,0.4%,0.92
apotheke essen hauptbahnhof,Apotheke,20,374,5.3%,3.68,0.0%,30.3%,5.3%,-4.71
pickel loswerden,Skin problem,19,6913,0.3%,6.59,-61.2%,-8.9%,-0.4%,0.39
rosacea sonnenschutz,"Indication, Product Category",19,1198,1.6%,11.37,1800.0%,527.2%,1.1%,-2.14
gesicht rötungen,Skin problem,18,1133,1.6%,5.74,-37.9%,23.6%,-1.6%,2.62
wie sieht trockene haut aus,"Skin problem, Skin type, Question",18,977,1.8%,3.18,28.6%,5.9%,0.3%,0.97
empfindliche mischhaut mit unreinheiten,"Skin problem, Skin type",18,538,3.3%,4.26,-45.5%,-8.0%,-2.3%,-0.23
arten von ekzemen,Indication,18,208,8.7%,3.63,157.1%,50.7%,3.6%,-1.3
seborrhoisches ekzem schuppenflechte,Indication,18,152,11.8%,1.2,-37.9%,-10.6%,-5.2%,0.19
rote haut gesicht,Skin problem,17,4161,0.4%,8.12,-45.2%,21.1%,-0.5%,2.86
gerötete haut gesicht,Skin problem,17,2864,0.6%,8.73,-69.1%,10.5%,-1.5%,3.83
rötungen gesicht,Skin problem,17,2134,0.8%,5.55,-56.4%,53.9%,-2.0%,2.13
schuppenarten,Skin problem,17,552,3.1%,1.69,-45.2%,9.5%,-3.1%,0.62
gehen pickelmale weg,"Skin problem, Question",17,334,5.1%,1.4,112.5%,-10.0%,2.9%,-2.8
atopisches ekzem,Indication,16,12632,0.1%,15.1,1500.0%,583.5%,0.1%,-39.14
spray gegen juckreiz,"Skin problem, Product Category",16,1297,1.2%,4.34,77.8%,57.8%,0.1%,-2.99
hautrötungen,Skin problem,15,6649,0.2%,9.16,-46.4%,10.3%,-0.2%,-1.33
mizellenwasser,Product Category,15,2647,0.6%,26.34,-37.5%,-64.7%,0.2%,-17.61
hautrötung gesicht,Skin problem,15,2591,0.6%,5.97,-89.6%,-34.1%,-3.1%,2.7
welche sonnencreme bei rosacea,"Indication, Product Category, Question",15,1871,0.8%,10.09,0.0%,727.9%,0.8%,-33.84
arten von schuppen,Skin problem,15,470,3.2%,1.49,-72.7%,1.1%,-8.6%,0.34
haut nimmt keine feuchtigkeit auf,Skin problem,15,331,4.5%,3.09,-16.7%,36.8%,-2.9%,-0.93
hautpflege apotheke,"Product Category, Apotheke",14,1839,0.8%,6.8,600.0%,69.5%,0.6%,-8.57
pickel narben,Skin problem,14,761,1.8%,10.91,-12.5%,-6.2%,-0.1%,4
schuppen arten,Skin problem,14,467,3.0%,1.5,-73.6%,-13.8%,-6.8%,0.49
pickel entfernen,Skin problem,13,9029,0.1%,10.62,62.5%,81.0%,0.0%,-6.89
schuppen am kopf,Skin problem,13,3162,0.4%,8.47,-63.9%,-19.4%,-0.5%,2.26
dehydrierte haut gesicht,"Skin problem, Skin type",13,1616,0.8%,7.67,-59.4%,5.1%,-1.3%,3.39
sonnencreme für rosacea,"Indication, Product Category",13,928,1.4%,9.17,0.0%,1225.7%,1.4%,-25.32
neurodermitis arten,Indication,13,922,1.4%,6.23,160.0%,57.3%,0.6%,-1.92
geschädigte hautbarriere reparieren,Skin problem,13,914,1.4%,7.88,-38.1%,-28.1%,-0.2%,1.09
stechen auf der haut,Skin problem,13,590,2.2%,3.02,8.3%,-25.0%,0.7%,-1.52
dehydrierte haut mit unreinheiten,"Skin problem, Skin type",13,519,2.5%,7.57,-38.1%,-19.4%,-0.8%,0.78
rote aknenarben,Skin problem,13,322,4.0%,3.39,44.4%,-19.9%,1.8%,-0.24
apotheke hbf essen,Apotheke,13,317,4.1%,4.14,1200.0%,32.1%,3.7%,-2.19
geschädigte haut reparieren,Skin problem,13,204,6.4%,1.25,-51.9%,-26.6%,-3.3%,0.19
trockene haut symptome,"Skin problem, Skin type",12,1533,0.8%,8.4,140.0%,48.3%,0.3%,-0.36
beste sonnencreme bei rosacea,"Indication, Product Category",12,1293,0.9%,10.77,0.0%,3818.2%,0.9%,-36.84
kopfhautschuppen,Skin problem,12,1171,1.0%,6.09,-20.0%,7.6%,-0.4%,0.64
pore refiner,Product Category,12,528,2.3%,2.6,-25.0%,-48.9%,0.7%,-2.5
dandruff,Skin problem,12,403,3.0%,2.33,1100.0%,1915.0%,-2.0%,-0.72
dehydrierte haut produkte,"Skin problem, Skin type, Product Category",12,328,3.7%,4.03,9.1%,4.8%,0.1%,-1.78
stechende haut,Skin problem,12,309,3.9%,1.8,-29.4%,-2.8%,-1.5%,-1.25
aknenarben behandeln,Indication,12,303,4.0%,17.6,33.3%,-58.7%,2.7%,-21.92
apotheke hauptbahnhof essen,Apotheke,12,276,4.3%,3.36,300.0%,-5.8%,3.3%,-3.68
bb creme rosacea,"Indication, Product Category, Product Texture",12,174,6.9%,2.51,100.0%,13.7%,3.0%,-0.97
ekzemarten,Indication,12,150,8.0%,2.09,200.0%,20.0%,4.8%,-2.88
kratzer schneller heilen,Skin problem,12,122,9.8%,3.02,50.0%,-5.4%,3.6%,0.03
rote stellen im gesicht,Skin problem,11,3222,0.3%,11.46,83.3%,56.0%,0.1%,1.04
ausgetrocknete haut,Skin problem,11,2179,0.5%,8.61,37.5%,-12.4%,0.2%,2.2
pickelmale loswerden,Skin problem,11,2105,0.5%,12.44,-73.2%,-51.9%,-0.4%,3.76
rötungen im gesicht ursachen,"Skin problem, Question",11,1672,0.7%,6.55,-70.3%,-1.8%,-1.5%,1.24
trockene stirn,"Skin problem, Skin type",11,1131,1.0%,8,-8.3%,-21.1%,0.1%,-0.91
mizellenwasser rosacea,"Indication, Product Category",11,448,2.5%,4.31,-15.4%,24.1%,-1.1%,-1.63
haut reparieren,Skin problem,11,361,3.0%,2.5,10.0%,-9.3%,0.5%,0.33
atopische diathese haut,Indication,11,132,8.3%,1.43,0.0%,3.9%,-0.3%,0.41
wie fühlt sich trockene haut an,"Skin problem, Skin type, Question",11,125,8.8%,1.74,83.3%,-19.9%,5.0%,-0.66
rötung im gesicht,Skin problem,10,4907,0.2%,9.23,-56.5%,6.4%,-0.3%,2.05
pickelmale,Skin problem,10,4062,0.2%,14.07,-86.3%,-81.8%,-0.1%,4.11
rote gesichtshaut,Skin problem,10,2533,0.4%,9.36,-50.0%,24.2%,-0.6%,3.32
was hilft gegen pickelmale,"Skin problem, Question",10,2062,0.5%,22.87,-28.6%,20.0%,-0.3%,2.55
apotheke medebach,Apotheke,10,2014,0.5%,9.73,233.3%,938.1%,-1.0%,-2.82
pickel arten,Skin problem,10,1765,0.6%,8.55,-56.5%,82.9%,-1.8%,-2.69
plötzlich trockene haut,"Skin problem, Skin type",10,1343,0.7%,7.07,-23.1%,-5.2%,-0.2%,1.08
fettige mischhaut,"Skin problem, Skin type",10,939,1.1%,1.39,900.0%,16.6%,0.9%,-10
haut hydrieren,Skin problem,10,292,3.4%,2.68,25.0%,45.3%,-0.6%,-0.72
gehen aknenarben weg,"Indication, Skin problem, Question",10,225,4.4%,1.12,-23.1%,11.4%,-2.0%,-0.98
dehydrierte haut creme,"Skin problem, Skin type, Product Category",10,201,5.0%,2.91,900.0%,38.6%,4.3%,-4.97
wie entstehen schuppen,"Skin problem, Question",9,5209,0.2%,7.25,-30.8%,-17.0%,0.0%,1.03
aknenarben,"Indication, Skin problem",9,4788,0.2%,41.8,-43.8%,11.4%,-0.2%,19.61
woher kommen schuppen,"Skin problem, Question",9,3913,0.2%,6.77,-65.4%,-17.4%,-0.3%,0.65
sos spray,"Skin problem, Product Category",9,1917,0.5%,7.54,350.0%,128.2%,0.2%,-1.04
pickelnarben wegbekommen,"Indication, Skin problem",9,1627,0.6%,9.37,28.6%,26.8%,0.0%,-0.28
dehydrierte haut symptome,"Skin problem, Skin type",9,1527,0.6%,6.67,12.5%,-0.8%,0.1%,1.9
hautempfindlichkeit,Skin problem,9,1181,0.8%,5.39,0.0%,3.3%,0.0%,-1.14
aknenarben entfernen,"Indication, Skin problem",9,816,1.1%,32.41,-80.4%,-75.7%,-0.3%,-1.17
atopische haut pflege,"Indication, Skin type, Product Category",9,591,1.5%,4.69,28.6%,61.9%,-0.4%,1.01
kribbeln und pieksen auf der haut,Skin problem,9,430,2.1%,8.53,12.5%,11.7%,0.0%,-0.37
rote flecken nach pickel,Skin problem,9,391,2.3%,3.05,-57.1%,-3.9%,-2.9%,1.4
kratzer schnell heilen,Skin problem,9,212,4.2%,2.95,0.0%,41.3%,-1.8%,-0.23
was tun gegen aknenarben,"Indication, Skin problem, Question",9,198,4.5%,13.21,28.6%,-13.2%,1.5%,4.34
kratzer auf der haut wegbekommen,Skin problem,9,185,4.9%,3.18,0.0%,28.5%,-1.4%,0.19
narben an den beinen durch kratzen,Skin problem,9,166,5.4%,3.23,0.0%,95.3%,-5.2%,-0.25
apotheke am hauptbahnhof essen,Apotheke,9,109,8.3%,3.35,800.0%,-25.3%,7.6%,-3.51
seborrhoisches ekzem ellenbogen,Indication,9,89,10.1%,3.48,-18.2%,-10.1%,-1.0%,0.29
bb cream bei rosacea,"Indication, Product Category, Product Texture",9,76,11.8%,1.09,0.0%,0.0%,11.8%,1.09
dehydrierte haut trotz viel trinken,"Skin problem, Skin type",9,75,12.0%,1.08,28.6%,36.4%,-0.7%,0.08
unterschied seborrhoisches ekzem und schuppenflechte,"Indication, Question",9,75,12.0%,2.63,28.6%,-11.8%,3.8%,-0.35
seborrhoische dermatitis schuppenflechte,Indication,9,73,12.3%,1.08,-18.2%,-5.2%,-2.0%,0.08
reine haut,Skin problem,8,7037,0.1%,8.33,166.7%,162.7%,0.0%,-2.15
atopisch,Indication,8,5138,0.2%,11.07,-61.9%,-55.9%,0.0%,1.6
haarschuppen,Skin problem,8,4072,0.2%,10.32,-66.7%,-5.5%,-0.4%,0.81
wie bekommt man pickel weg,"Skin problem, Question",8,3635,0.2%,6.18,-20.0%,-27.5%,0.0%,-0.47
rosacea,Indication,8,2682,0.3%,40.16,300.0%,0.6%,0.2%,-7.36
gerötete haut,Skin problem,8,1936,0.4%,15.1,100.0%,-20.3%,0.2%,3
akne narben,"Indication, Skin problem",8,1475,0.5%,48.68,33.3%,10.1%,0.1%,15.89
talgpickel im gesicht,Skin problem,8,1460,0.5%,10.92,-11.1%,18.5%,-0.2%,1.11
pickel weg über nacht,Skin problem,8,1428,0.6%,8.27,300.0%,53.4%,0.3%,-0.33
übermäßige talgproduktion,Skin problem,8,1221,0.7%,9.55,-46.7%,0.2%,-0.6%,-0.03
trockene haut trotz viel trinken,"Skin problem, Skin type",8,910,0.9%,9.27,300.0%,81.3%,0.5%,-0.7
autobronzant,"Product Category, Product Texture",8,899,0.9%,5.34,700.0%,4.5%,0.8%,0.7
wie lange dauert es bis pickelmale verschwinden,"Skin problem, Question",8,469,1.7%,4.49,14.3%,-13.3%,0.4%,-0.19
welche sonnencreme bei rosacea erfahrungen,"Indication, Product Category, Question",8,455,1.8%,11.58,0.0%,1066.7%,1.8%,-32.91
schuppige stellen kopfhaut,Skin problem,8,398,2.0%,3.52,0.0%,-10.6%,0.2%,-0.51
sonnenschutz für rosacea,"Indication, Product Category",8,389,2.1%,7.93,0.0%,634.0%,2.1%,-9.69
mizellenwasser bei rosacea,"Indication, Product Category",8,322,2.5%,4.88,166.7%,30.4%,1.3%,-2.13
können aknenarben verschwinden,"Indication, Skin problem, Question",8,209,3.8%,1.77,-50.0%,-13.6%,-2.8%,-0.36
essen hauptbahnhof apotheke,Apotheke,8,182,4.4%,4.13,300.0%,-15.7%,3.5%,-4.97
wie heilen kratzer schneller,"Skin problem, Question",8,175,4.6%,3.09,300.0%,11.5%,3.3%,-0.17
apotheke bahnhof essen,Apotheke,8,168,4.8%,3.99,300.0%,130.1%,2.0%,-5.31
akne rote flecken,"Indication, Skin problem",8,166,4.8%,2.73,-73.3%,-35.7%,-6.8%,1.45
getönte sonnencreme rosacea,"Indication, Product Category, Product Texture",8,125,6.4%,4.18,0.0%,0.0%,6.4%,4.18
bb creme bei rosacea,"Indication, Product Category, Product Texture",8,39,20.5%,1.54,60.0%,62.5%,-0.3%,-1.67
nova apotheke langen,Apotheke,7,2914,0.2%,7.82,0.0%,177.5%,0.2%,-1.71
herz apotheke sigmaringen,Apotheke,7,1994,0.4%,6.76,0.0%,41.2%,0.4%,-0.88
wundheilcreme,"Skin problem, Product Category",7,1985,0.4%,7.64,75.0%,91.4%,0.0%,-1.43
pickel rötungen über nacht loswerden,Skin problem,7,1689,0.4%,4.69,-58.8%,-20.6%,-0.4%,-1.64
apotheke hautpflege,"Product Category, Apotheke",7,1318,0.5%,9.28,600.0%,146.4%,0.3%,-7.93
bb cream empfindliche haut,"Skin type, Product Category, Product Texture",7,1064,0.7%,9.91,600.0%,17.8%,0.5%,0.38
trockene haut arme,"Skin problem, Skin type",7,1049,0.7%,6.75,40.0%,84.7%,-0.2%,0.3
woran erkennt man trockene haut,"Skin problem, Skin type, Question",7,1007,0.7%,4.6,-12.5%,-4.5%,-0.1%,1.21
wie wird man pickel los,"Skin problem, Question",7,811,0.9%,3.61,40.0%,-32.7%,0.4%,-0.57
hautrötung im gesicht,Skin problem,7,742,0.9%,5.57,-53.3%,27.1%,-1.6%,1.71
pickelmale wie lange,"Skin problem, Question",7,715,1.0%,5.45,-53.3%,-1.9%,-1.1%,1.11
juckreiz spray,"Skin problem, Product Category",7,710,1.0%,4.31,600.0%,81.1%,0.7%,-4.07
gesichtshaut spannt,Skin problem,7,499,1.4%,6.09,-30.0%,11.6%,-0.8%,0.06
trockene arme,Skin problem,7,360,1.9%,5.12,600.0%,195.1%,1.1%,0.69
rosacea bb cream,"Indication, Product Category, Product Texture",7,324,2.2%,5.99,-12.5%,87.3%,-2.5%,1.33
grosse schuppen auf kopfhaut,Skin problem,7,308,2.3%,4.56,-12.5%,14.9%,-0.7%,1.35
kratzer im gesicht schnell wegbekommen,Skin problem,7,272,2.6%,2.89,-63.2%,-49.7%,-0.9%,-0.51
gesichtsalterung,Skin problem,7,236,3.0%,5.44,75.0%,7.8%,1.1%,0.95
erythrose haut,Indication,7,227,3.1%,6.65,0.0%,-8.1%,0.2%,1.1
feste schuppen auf der kopfhaut,Skin problem,7,218,3.2%,3.92,250.0%,122.4%,1.2%,-0.44
inflamm aging,Skin problem,7,218,3.2%,7.16,-12.5%,29.8%,-1.6%,0.9
hydratisierung der haut,Skin problem,7,215,3.3%,5.55,600.0%,4200.0%,-16.7%,-10.85
kratzer auf haut schnell wegbekommen,Skin problem,7,189,3.7%,2.91,-22.2%,26.8%,-2.3%,-0.05
kratzer im gesicht behandeln,Skin problem,7,179,3.9%,2.85,250.0%,163.2%,1.0%,-0.47
was hilft gegen kratzer auf der haut,"Skin problem, Question",7,156,4.5%,3.53,-12.5%,-11.9%,0.0%,0.48
ekzeme arten,Indication,7,149,4.7%,3.98,40.0%,31.9%,0.3%,-2.37
rote flecken nach pickel loswerden,Skin problem,7,143,4.9%,3.25,250.0%,155.4%,1.3%,-0.32
seborrhoisches ekzem psoriasis,Indication,7,109,6.4%,1.93,-12.5%,5.8%,-1.3%,0.89
kratzer narben entfernen,Skin problem,7,106,6.6%,2.02,600.0%,562.5%,0.4%,0.27
seborrhoisches ekzem ohne schuppen,Indication,7,97,7.2%,1.32,-63.2%,-19.2%,-8.6%,0.32
seborrhoisches ekzem salzwasser,Indication,7,52,13.5%,2.56,-72.0%,-52.3%,-9.5%,1.51
kopfhaut schuppen,Skin problem,6,2836,0.2%,13.25,-62.5%,-40.7%,-0.1%,4.96
plötzlich trockene haut am ganzen körper,"Skin problem, Skin type",6,1343,0.4%,9.26,500.0%,957.5%,-0.3%,2.98
schuppen kopfhaut loswerden,Skin problem,6,1331,0.5%,5.85,-92.0%,-39.7%,-2.9%,3.35
trockene haut erkennen,"Skin problem, Skin type",6,940,0.6%,3.22,-25.0%,-4.8%,-0.2%,-0.02
gehen pickelnarben weg,"Indication, Skin problem, Question",6,838,0.7%,1.43,-33.3%,-15.4%,-0.2%,-0.17
dehydrierte haut akne,"Indication, Skin problem, Skin type",6,821,0.7%,5.08,20.0%,-4.2%,0.1%,0.28
woran erkenne ich trockene haut,"Skin problem, Skin type, Question",6,799,0.8%,5.28,-45.5%,-7.5%,-0.5%,1.6
akne flecken entfernen,"Indication, Skin problem",6,679,0.9%,11.18,100.0%,-5.7%,0.5%,1.75
mizellenwasser empfindliche haut,"Skin type, Product Category",6,525,1.1%,5.58,50.0%,57.7%,-0.1%,0.09
sonnenschutz gesicht rosacea,"Indication, Product Category",6,514,1.2%,8.83,0.0%,678.8%,1.2%,-9.56
was bedeutet atopische haut,"Indication, Question",6,387,1.6%,4.55,200.0%,69.7%,0.7%,0.13
"kratzer im gesicht, narbe verhindern",Skin problem,6,304,2.0%,3.76,-40.0%,-24.6%,-0.5%,0.55
haut ausgetrocknet,Skin problem,6,199,3.0%,6.91,20.0%,15.7%,0.1%,1.32
sonnencreme rosacea gesicht,"Indication, Product Category",6,159,3.8%,8.85,0.0%,0.0%,3.8%,8.85
rötungen haut gesicht,Skin problem,6,147,4.1%,3.99,50.0%,58.1%,-0.2%,0.91
gehen pickel narben wieder weg,"Skin problem, Question",6,146,4.1%,1.52,200.0%,97.3%,1.4%,-1.4
schramme im gesicht,Skin problem,6,128,4.7%,1.39,0.0%,11.3%,-0.5%,0.34
seborrhoische psoriasis,Indication,6,128,4.7%,1.75,-25.0%,-1.5%,-1.5%,0.44
kratzer behandeln,Skin problem,6,122,4.9%,3.92,-50.0%,8.9%,-5.8%,0.56
bb cream sensible haut,"Skin type, Product Category, Product Texture",6,104,5.8%,5.04,0.0%,141.9%,5.8%,-6.59
seborrhoisches ekzem oder psoriasis,"Indication, Question",6,88,6.8%,2.34,-60.0%,-17.8%,-7.2%,-0.29
rötungen,Skin problem,5,5860,0.1%,7.66,-44.4%,51.6%,-0.1%,2.79
warum bekommt man schuppen,"Skin problem, Question",5,2032,0.2%,6.91,-54.5%,-13.3%,-0.2%,1.65
pickel narben loswerden,Skin problem,5,1877,0.3%,9.29,-28.6%,-8.2%,-0.1%,0.76
rote haut im gesicht,Skin problem,5,1754,0.3%,7.98,-37.5%,-3.7%,-0.2%,2.94
rotes gesicht ursachen,"Skin problem, Question",5,1351,0.4%,13.26,0.0%,-10.3%,0.0%,0.42
gerötete gesichtshaut,Skin problem,5,1182,0.4%,11.92,66.7%,-22.2%,0.2%,2.74
seborrhoisches ekzem kopfhaut,Indication,5,1154,0.4%,37.4,400.0%,18.7%,0.3%,7.56
haarschuppen ursache,"Skin problem, Question",5,1027,0.5%,10.48,25.0%,71.5%,-0.2%,1.31
haut spannt,Skin problem,5,986,0.5%,6.72,0.0%,52.4%,0.5%,-0.93
bb cream für empfindliche haut,"Skin type, Product Category, Product Texture",5,981,0.5%,11.73,150.0%,21.3%,0.3%,1.34
wie erkennt man trockene haut,"Skin problem, Skin type, Question",5,838,0.6%,2.99,-16.7%,-7.2%,-0.1%,-0.3
rote pickelmale loswerden,Skin problem,5,680,0.7%,5.8,-61.5%,-18.2%,-0.8%,0.08
rötung gesicht,Skin problem,5,668,0.7%,8.65,-44.4%,-5.4%,-0.5%,1.94
schuppige stelle kopfhaut,Skin problem,5,623,0.8%,4.89,-28.6%,-24.8%,0.0%,-0.17
welcher sonnenschutz bei rosacea,"Indication, Product Category, Question",5,599,0.8%,10.33,0.0%,1030.2%,0.8%,-18.9
kratzer im gesicht,Skin problem,5,565,0.9%,3.33,-87.8%,-30.3%,-4.2%,1.1
mineral sonnencreme,"Product Category, Product Texture",5,495,1.0%,14.34,150.0%,6.5%,0.6%,1.75
was ist ein atopisches ekzem,"Indication, Question",5,431,1.2%,10.21,0.0%,0.0%,1.2%,10.21
schutz der haut,Skin problem,5,405,1.2%,7.28,0.0%,563.9%,1.2%,-9.26
huile de douche,"Product Category, Product Texture",5,390,1.3%,3.52,25.0%,-19.3%,0.5%,1.1
rote flecken nach pickel ausdrücken,Skin problem,5,357,1.4%,7.1,25.0%,-10.3%,0.4%,1.71
wie lange brauchen pickelmale um zu verschwinden,"Skin problem, Question",5,332,1.5%,4.89,0.0%,-7.8%,0.1%,-0.08
rötliche haut gesicht,Skin problem,5,246,2.0%,5.8,-50.0%,41.4%,-3.7%,3.76
hydratation haut,Skin problem,5,218,2.3%,8.01,0.0%,0.0%,2.3%,8.01
apotheke schlössle augsburg,Apotheke,5,197,2.5%,5.64,150.0%,60.2%,0.9%,0.68
neurodermitis mikrobiom,Indication,5,197,2.5%,7.02,400.0%,28.8%,1.9%,-1.54
welche ekzeme gibt es,"Indication, Question",5,191,2.6%,4.23,400.0%,96.9%,1.6%,-2.57
wie bekommt man kratzer auf der haut schnell weg,"Skin problem, Question",5,185,2.7%,2.77,-37.5%,-51.1%,0.6%,-0.75
aknemale entfernen,"Indication, Skin problem",5,151,3.3%,5.3,0.0%,-23.4%,0.8%,0.5
rosacea mizellenwasser,"Indication, Product Category",5,146,3.4%,4.81,400.0%,49.0%,2.4%,-1.2
mineral spf,"Product Category, Product Texture",5,141,3.5%,6.84,150.0%,38.2%,1.6%,-2.38
gehen aknenarben von alleine weg,"Indication, Skin problem, Question",5,136,3.7%,1.51,-37.5%,-19.0%,-1.1%,-0.06
unterschied schuppenflechte und seborrhoisches ekzem,"Indication, Question",5,134,3.7%,2.15,-77.3%,-16.8%,-9.9%,-0.84
dehydrierte gesichtshaut,"Skin problem, Skin type",5,130,3.8%,6.48,-28.6%,-28.2%,0.0%,2.36
leopold apotheke münchen,Apotheke,5,118,4.2%,4.66,66.7%,-29.8%,2.5%,0.41
rote flecken von pickeln wegbekommen,Skin problem,5,104,4.8%,2.97,150.0%,31.6%,2.3%,-0.49
apotheke essen bahnhof,Apotheke,5,104,4.8%,3.95,0.0%,112.2%,4.8%,-5.68
schrammen im gesicht,Skin problem,5,99,5.1%,1.31,0.0%,32.0%,-1.6%,0.31
bb creme für empfindliche haut,"Skin type, Product Category, Product Texture",5,83,6.0%,6.28,0.0%,0.0%,6.0%,6.28
shampoo gegen juckende kopfhaut stiftung warentest,"Skin problem, Product Category",5,76,6.6%,2.05,-54.5%,-53.9%,-0.1%,0.04
rote flecken nach akne,Skin problem,5,75,6.7%,2.76,-16.7%,36.4%,-4.2%,0.85
