Keyword,Keyword Category,Clicks,Impression,CTR,Position,Clicks Change,Impression Change,CTR Change,Position Change
duschöl,"Product Category, Product Texture",4,3718,0.1%,15.46,0.0%,241.1%,0.1%,-41.54
extrem trockene haut,"Skin problem, Skin type",4,3401,0.1%,20.29,0.0%,25.4%,0.0%,3.64
wie sieht neurodermitis aus,"Indication, Question",4,2235,0.2%,15.11,0.0%,438.6%,0.2%,-8.49
dermatologische hautpflege,Product Category,4,2129,0.2%,10.84,-50.0%,105.5%,-0.6%,-0.37
schuppen auf der kopfhaut,Skin problem,4,1973,0.2%,8.45,-66.7%,-7.7%,-0.4%,1.93
trockene kopfhaut schuppen,"Skin problem, Skin type",4,1922,0.2%,45.2,0.0%,30.6%,-0.1%,2.11
warum hat man schuppen,"Skin problem, Question",4,1919,0.2%,5.78,-75.0%,4.0%,-0.7%,0.9
rote pickelmale,Skin problem,4,1880,0.2%,6.87,-82.6%,-12.1%,-0.9%,0.99
atopischer dermatitis,Indication,4,1708,0.2%,12.53,100.0%,-14.8%,0.1%,0.75
alex apotheke reuschenberg,Apotheke,4,1548,0.3%,8.06,0.0%,1.0%,0.3%,-1.13
pickelnarben entfernen,"Indication, Skin problem",4,1357,0.3%,34.45,-87.1%,-39.5%,-1.1%,14.81
wie bekommt man pickelmale weg,"Skin problem, Question",4,1334,0.3%,7.65,-42.9%,6.7%,-0.3%,0.29
gel creme gesicht,"Product Category, Product Texture",4,1217,0.3%,11.64,33.3%,6.2%,0.1%,-1.81
mizellenwasser abwaschen,"Product Category, Question",4,1191,0.3%,10.14,-75.0%,-28.7%,-0.6%,1.55
pickel im gesicht loswerden,Skin problem,4,1110,0.4%,10.46,-42.9%,-40.3%,0.0%,2.44
dermatologische hautpflege marken,Product Category,4,1093,0.4%,9.38,300.0%,183.2%,0.1%,-0.03
trockene haut am ganzen körper,"Skin problem, Skin type",4,939,0.4%,9.68,0.0%,33.0%,-0.1%,1.7
verschwinden pickelmale von alleine,"Skin problem, Question",4,891,0.4%,1.7,-20.0%,4.0%,-0.1%,0.63
schuppen am haaransatz,Skin problem,4,891,0.4%,7.67,0.0%,10.7%,0.0%,-0.02
symptome trockene haut,"Skin problem, Skin type",4,775,0.5%,8.88,33.3%,46.5%,-0.1%,-0.45
reine haut gesicht,Skin problem,4,757,0.5%,5.86,0.0%,207.7%,0.5%,-4.1
geschädigte haut,Skin problem,4,740,0.5%,4.88,-33.3%,45.7%,-0.6%,1.32
pickel loswerden über nacht,Skin problem,4,677,0.6%,5.26,100.0%,-27.7%,0.4%,-2.52
gel creme,"Product Category, Product Texture",4,661,0.6%,12.64,100.0%,100.3%,0.0%,-0.58
melasma wechseljahre,Indication,4,615,0.7%,7.84,-42.9%,74.7%,-1.3%,0.48
neurodermitis spray,"Indication, Product Category",4,595,0.7%,4.84,100.0%,139.0%,-0.1%,-0.55
pickel narben entfernen,Skin problem,4,589,0.7%,21.35,-60.0%,-55.5%,-0.1%,12.18
gesicht spannt,Skin problem,4,550,0.7%,7.26,-20.0%,12.9%,-0.3%,0.88
bestes mizellenwasser,Product Category,4,529,0.8%,13.72,33.3%,32.6%,0.0%,-0.64
trockene schuppen am haaransatz,Skin problem,4,493,0.8%,8.46,-20.0%,-10.8%,-0.1%,0.11
schlangenhaut mensch,Skin problem,4,480,0.8%,9.75,100.0%,21.5%,0.3%,2.54
schmerzempfindliche haut,Skin problem,4,468,0.9%,5.88,300.0%,15.0%,0.6%,-0.56
huile de douche shower oil,"Product Category, Product Texture",4,450,0.9%,4.84,300.0%,-32.6%,0.7%,-2.48
hydratation der haut,Skin problem,4,409,1.0%,7.42,0.0%,0.0%,1.0%,7.42
spannungsgefühl gesicht,Skin problem,4,391,1.0%,6.1,300.0%,55.8%,0.6%,-2.39
feuchtigkeitsarme haut gesicht,"Skin problem, Skin type",4,342,1.2%,10.71,-50.0%,33.6%,-2.0%,-0.15
arten von neurodermitis,Indication,4,308,1.3%,5.74,0.0%,47.4%,1.3%,-1.28
spray neurodermitis,"Indication, Product Category",4,304,1.3%,3.21,100.0%,104.0%,0.0%,-0.92
haut sticht,Skin problem,4,304,1.3%,3.72,-69.2%,-18.7%,-2.2%,-1.8
psoriasis nase,Indication,4,300,1.3%,6.31,33.3%,85.2%,-0.5%,-1.94
sonnencreme gesicht bei rosacea,"Indication, Product Category",4,300,1.3%,9.04,0.0%,0.0%,1.3%,9.04
krätze narben wegbekommen,Skin problem,4,260,1.5%,6.84,33.3%,-13.6%,0.5%,-2.96
wann gehen pickelmale weg,"Skin problem, Question",4,250,1.6%,1.86,-60.0%,-21.9%,-1.5%,0.4
rote narben im gesicht,Skin problem,4,240,1.7%,5.77,300.0%,6.7%,1.2%,-0.51
pickel-arten und ursachen,Skin problem,4,234,1.7%,10.23,0.0%,38.5%,1.7%,0.28
hydratisiert haut,Skin problem,4,222,1.8%,2.68,0.0%,362.5%,1.8%,-0.15
feuchtigkeitsserum empfindliche haut,"Skin type, Product Category",4,219,1.8%,7.04,0.0%,23.7%,1.8%,-0.66
hautmikrobiom neurodermitis,Indication,4,211,1.9%,5.42,0.0%,-4.1%,0.1%,0.7
atopischer haut,"Indication, Skin type",4,209,1.9%,2.94,-20.0%,-1.4%,-0.4%,0.72
dermatologische sonnencreme,Product Category,4,202,2.0%,8.38,300.0%,304.0%,0.0%,1.64
inflammaging haut,Skin problem,4,196,2.0%,5.83,-60.0%,48.5%,-5.5%,3.16
dehydrierte haut was tun,"Skin problem, Skin type, Question",4,186,2.2%,7.75,-60.0%,-25.6%,-1.8%,2.09
atopische diathese behandlung,Indication,4,182,2.2%,4.13,33.3%,15.2%,0.3%,0.31
dehydrierte haut ursachen,"Skin problem, Skin type, Question",4,172,2.3%,2.74,-63.6%,5.5%,-4.4%,0.03
kratzer im gesicht narbe verhindern,Skin problem,4,164,2.4%,3.98,-55.6%,-18.0%,-2.1%,0.79
apotheke im hauptbahnhof essen,Apotheke,4,163,2.5%,3.52,-42.9%,-38.5%,-0.2%,-3.3
rosacea creme mit sonnenschutz,"Indication, Product Category",4,157,2.5%,6.9,0.0%,0.0%,2.5%,6.9
cosmas apotheke medebach,Apotheke,4,152,2.6%,2.97,300.0%,58.3%,1.6%,-2.39
sonnencreme gesicht empfindliche haut rosacea,"Indication, Skin type, Product Category",4,149,2.7%,6.65,0.0%,0.0%,2.7%,6.65
hautpflege apotheke trockene haut,"Skin type, Product Category, Apotheke",4,147,2.7%,9.95,0.0%,149.2%,2.7%,-16.34
trockene haut gesicht symptome,"Skin problem, Skin type",4,144,2.8%,2.67,300.0%,-19.6%,2.2%,-4.58
unreine mischhaut,"Skin problem, Skin type",4,141,2.8%,4.02,0.0%,0.7%,0.0%,0.43
was ist eine atopische haut,"Indication, Question",4,141,2.8%,4.57,300.0%,69.9%,1.6%,0.1
wie lange dauert es bis schuppen weg sind,"Skin problem, Question",4,139,2.9%,4.23,-20.0%,-30.5%,0.4%,0.71
narben durch kratzen,Skin problem,4,136,2.9%,3.12,0.0%,-7.5%,0.2%,-0.44
spannende gesichtshaut,Skin problem,4,126,3.2%,5.56,100.0%,9.6%,1.4%,-1.29
vorstufe schuppenflechte,Indication,4,108,3.7%,7.41,0.0%,200.0%,3.7%,-2.2
easy apotheke weissach im tal,Apotheke,4,107,3.7%,5.43,33.3%,23.0%,0.3%,0.8
beste sonnencreme rosacea,"Indication, Product Category",4,107,3.7%,8.27,0.0%,0.0%,3.7%,8.27
dehydrierte haut falten,"Skin problem, Skin type",4,105,3.8%,5.34,0.0%,0.0%,3.8%,5.34
hautstechen,Skin problem,4,104,3.8%,3.95,0.0%,173.7%,3.8%,0.27
hautröte im gesicht,Skin problem,4,103,3.9%,2.77,100.0%,296.2%,-3.8%,0.42
roter punkt nach pickel geht nicht weg,Skin problem,4,103,3.9%,6.29,33.3%,-1.0%,1.0%,2.31
sonnenfluid rosacea,"Indication, Product Category",4,94,4.3%,7.26,0.0%,0.0%,4.3%,7.26
akne rötungen im gesicht,"Indication, Skin problem",4,90,4.4%,4.2,0.0%,0.0%,4.4%,4.2
shampoo juckende kopfhaut testsieger,"Skin problem, Product Category",4,75,5.3%,2.19,-50.0%,-56.4%,0.7%,-7.14
rote flecken im gesicht nach pickel,Skin problem,4,69,5.8%,2.58,100.0%,35.3%,1.9%,0.27
pickel hinterlassen rote flecken,Skin problem,4,63,6.3%,2.21,100.0%,53.7%,1.5%,0.01
sonnencreme gegen rötungen,"Skin problem, Product Category",4,60,6.7%,4.95,0.0%,0.0%,6.7%,4.95
seborrhoisches ekzem anfangsstadium schuppenflechte kopfhaut,Indication,4,57,7.0%,1.95,0.0%,16.3%,-1.1%,-0.76
unterschied seborrhoisches ekzem und psoriasis,"Indication, Question",4,57,7.0%,2.88,0.0%,11.8%,-0.8%,-0.16
wann verblassen pickelmale,"Skin problem, Question",4,40,10.0%,3.4,0.0%,0.0%,10.0%,3.4
rosacea spf 50,"Indication, Product Category",4,38,10.5%,3.95,0.0%,5.6%,10.5%,-4.19
haut von innen hydrieren,Skin problem,4,31,12.9%,4.81,0.0%,0.0%,12.9%,4.81
sos spray rosacea,"Indication, Product Category",4,23,17.4%,1,0.0%,0.0%,17.4%,1
bb cream couperose,"Indication, Product Category, Product Texture",4,22,18.2%,2.41,300.0%,-12.0%,14.2%,-1.43
wie kriegt man pickel weg,"Skin problem, Question",3,6039,0.0%,7.14,-66.7%,-38.9%,0.0%,0.86
talg pickel,Skin problem,3,3490,0.1%,8.92,-70.0%,-12.0%,-0.2%,2.47
pickel wegbekommen,Skin problem,3,3152,0.1%,11.31,0.0%,20.9%,0.0%,-1.32
apotheke legau,Apotheke,3,2573,0.1%,6.72,200.0%,-5.2%,0.1%,-0.1
haut trocken,Skin problem,3,2426,0.1%,9.42,-57.1%,11.5%,-0.2%,2.7
mizellen,Product Category,3,2386,0.1%,34.19,-25.0%,11.4%,-0.1%,-10.42
trockene schuppen,Skin problem,3,2091,0.1%,40.78,-40.0%,57.9%,-0.2%,13.76
pickel über nacht loswerden,Skin problem,3,1815,0.2%,4.83,-40.0%,-20.7%,-0.1%,-3.55
rote haut,Skin problem,3,1758,0.2%,9.53,-72.7%,-31.9%,-0.3%,3.42
falken apotheke markt schwaben,Apotheke,3,1636,0.2%,7.93,0.0%,49.1%,0.2%,-1.06
germania apotheke frankfurt,Apotheke,3,1629,0.2%,6.61,200.0%,-0.9%,0.1%,-0.98
zu akne neigende haut,Skin type,3,1536,0.2%,9.23,0.0%,15.6%,0.2%,0.71
apotheke riedberg,Apotheke,3,1496,0.2%,8.12,0.0%,82.9%,0.2%,-3.31
haut ekzem,Indication,3,1437,0.2%,17,0.0%,144.4%,0.2%,-34.76
leopold apotheke hof,Apotheke,3,1416,0.2%,7.36,0.0%,64.7%,0.2%,0.31
ring apotheke essen,Apotheke,3,1403,0.2%,6.28,-40.0%,57.5%,-0.3%,-1.13
wie kann man pickel entfernen,"Skin problem, Question",3,1335,0.2%,6.9,-25.0%,99.9%,-0.4%,-1
dehydrierte haut pflege,"Skin problem, Skin type, Product Category",3,1329,0.2%,8.05,-57.1%,20.4%,-0.4%,0.75
mizellen reinigungswasser,Product Category,3,1256,0.2%,14.28,200.0%,-60.1%,0.2%,-3.63
was tun gegen pickelmale,"Skin problem, Question",3,1075,0.3%,15.65,-75.0%,-18.9%,-0.6%,1.69
sonnen apotheke biberach,Apotheke,3,896,0.3%,5.74,0.0%,-59.1%,0.2%,-3.27
ekzem haut,Indication,3,888,0.3%,24.55,0.0%,39.2%,0.3%,-19.63
mizellenwasser augen,Product Category,3,885,0.3%,6.47,50.0%,-3.6%,0.1%,-3.12
würmtal apotheke planegg,Apotheke,3,848,0.4%,10.23,0.0%,-4.2%,0.4%,-1.76
empfindliche haut rötungen,"Skin problem, Skin type",3,840,0.4%,8.15,0.0%,48.1%,-0.2%,2.72
bahnhof apotheke fulda,Apotheke,3,821,0.4%,7.47,50.0%,-22.9%,0.2%,-2.81
center apotheke farmsen,Apotheke,3,752,0.4%,9.49,0.0%,0.0%,0.4%,9.49
kopfschuppen entfernen,Skin problem,3,716,0.4%,8.7,200.0%,137.1%,0.1%,1.19
gerötete haut im gesicht,Skin problem,3,690,0.4%,8.19,-70.0%,20.2%,-1.3%,3.8
ekchymose,Indication,3,670,0.4%,14.83,0.0%,219.0%,0.4%,-26.12
seborrhoisches ekzem gesicht,Indication,3,635,0.5%,27.79,0.0%,5.8%,0.0%,-0.75
trockene schuppen kopfhaut,"Skin problem, Skin type",3,623,0.5%,22.06,-25.0%,110.5%,-0.9%,4.95
fortuna apotheke gelsenkirchen,Apotheke,3,622,0.5%,6.53,0.0%,81.9%,0.5%,-0.83
arten von pickeln,Skin problem,3,621,0.5%,8.52,0.0%,228.6%,0.5%,-5.2
anti juckreiz spray,"Skin problem, Product Category",3,606,0.5%,9.39,-75.0%,-22.0%,-1.0%,1.4
leichte rötungen im gesicht,Skin problem,3,593,0.5%,4.43,0.0%,94.4%,-0.5%,-0.1
große schuppen,Skin problem,3,590,0.5%,5.49,-57.1%,-0.7%,-0.7%,0.6
rote pickelmale entfernen,Skin problem,3,590,0.5%,8.43,-75.0%,-50.8%,-0.5%,1.04
apotheke farmsen ekz,Apotheke,3,583,0.5%,10.49,0.0%,0.0%,0.5%,10.49
erythrose gesicht,Indication,3,558,0.5%,7.21,-62.5%,-21.6%,-0.6%,0.78
apotheke kaufland,Apotheke,3,548,0.5%,3.56,50.0%,29.6%,0.1%,1.1
wie pickel loswerden,"Skin problem, Question",3,501,0.6%,8.03,-25.0%,-33.6%,0.1%,1.63
röte im gesicht,Skin problem,3,487,0.6%,7.94,-62.5%,13.5%,-1.2%,1.83
rötung im gesicht ursachen,"Skin problem, Question",3,484,0.6%,8.5,0.0%,73.5%,-0.5%,1.96
berührungsempfindlichkeit haut,Skin problem,3,463,0.6%,7.58,-50.0%,-66.7%,0.2%,0.01
rote kratzer schnell wegbekommen,Skin problem,3,442,0.7%,3.26,-76.9%,-9.8%,-2.0%,-0.95
wie sieht ekzem aus,"Indication, Question",3,407,0.7%,5.57,200.0%,140.8%,0.1%,-3.15
plötzlich extrem trockene haut,"Skin problem, Skin type",3,404,0.7%,8.05,-25.0%,65.6%,-0.9%,1.32
plötzlich sehr trockene haut,"Skin problem, Skin type",3,397,0.8%,7.45,-50.0%,74.9%,-1.9%,1.89
formen von neurodermitis,Indication,3,392,0.8%,8.81,0.0%,142.0%,0.8%,-8.92
rötungen nach pickel ausdrücken wegbekommen,Skin problem,3,389,0.8%,5.91,0.0%,-45.8%,0.8%,-1.01
trockene haut ganzer körper,"Skin problem, Skin type",3,373,0.8%,8.82,0.0%,28.2%,-0.2%,1.94
wie sehen ekzeme aus,"Indication, Question",3,371,0.8%,3.96,200.0%,100.5%,0.3%,-4.6
rosacea sonnenschutz gesicht,"Indication, Product Category",3,365,0.8%,8.4,0.0%,0.0%,0.8%,8.4
pickel narben weg bekommen,Skin problem,3,363,0.8%,7.88,-62.5%,-55.9%,-0.1%,0.18
mizellenwasser vor oder nach reinigung,"Product Category, Question",3,354,0.8%,6.12,-57.1%,-27.0%,-0.6%,-0.29
apotheke theaterpassage bonn,Apotheke,3,350,0.9%,5.26,0.0%,-1.7%,0.0%,-1.47
wie kann man pickel loswerden,"Skin problem, Question",3,317,0.9%,3.85,-25.0%,-37.8%,0.2%,-1.21
empfindliche haut symptome,"Skin problem, Skin type",3,317,0.9%,6.5,0.0%,1.6%,0.0%,1.22
gesicht rot,Skin problem,3,317,0.9%,11.31,50.0%,-60.9%,0.7%,2.5
hautpflege seborrhoisches ekzem,"Indication, Product Category",3,317,0.9%,11.82,50.0%,1881.3%,-11.6%,-1.06
rötungen um die nase wegbekommen,Skin problem,3,316,0.9%,29.77,0.0%,7.8%,0.9%,0.65
dicke schuppen auf kopfhaut,Skin problem,3,305,1.0%,4.25,-40.0%,231.5%,-4.5%,0.92
rötungen gesicht ursachen,"Skin problem, Question",3,302,1.0%,5.39,0.0%,22.3%,-0.2%,1.18
wie sehen schuppen auf dem kopf aus,"Skin problem, Question",3,300,1.0%,3.74,50.0%,82.9%,-0.2%,-0.73
gel moussant,"Product Category, Product Texture",3,296,1.0%,3.48,0.0%,22.8%,-0.2%,0.39
mineralischer sonnenschutz gesicht,"Product Category, Product Texture",3,296,1.0%,14.01,200.0%,722.2%,-1.8%,-21.32
was sind pickelmale,"Skin problem, Question",3,278,1.1%,8.14,0.0%,-72.0%,0.8%,-0.77
was hilft gegen schuppen,"Skin problem, Question",3,278,1.1%,62.41,50.0%,-18.0%,0.5%,28.18
rote gesichtshaut ursachen,"Skin problem, Question",3,277,1.1%,8.47,-25.0%,-47.2%,0.3%,-1.06
nach pickel roter fleck,Skin problem,3,273,1.1%,3.03,-83.3%,-21.6%,-4.1%,1.73
hautirritationen im gesicht,Skin problem,3,267,1.1%,13.04,0.0%,-63.5%,0.7%,2.97
kratzer im gesicht was tun,"Skin problem, Question",3,245,1.2%,3.87,50.0%,276.9%,-1.9%,0.7
wann verschwinden pickelmale,"Skin problem, Question",3,240,1.3%,1.88,-66.7%,-11.4%,-2.1%,0.1
apotheke theaterpassage,Apotheke,3,237,1.3%,5.75,50.0%,20.9%,0.2%,-1.58
haut dehydriert,Skin problem,3,234,1.3%,2.84,-25.0%,1.3%,-0.4%,0.94
spannende haut,Skin problem,3,234,1.3%,6.64,50.0%,6.4%,0.4%,-1.21
kopfschuppen arten,Skin problem,3,232,1.3%,2.46,-78.6%,4.5%,-5.0%,0.73
stechen in der haut,Skin problem,3,229,1.3%,3.78,0.0%,-17.6%,1.3%,-1.14
hautpflegeprodukte apotheke,"Product Category, Apotheke",3,227,1.3%,6.52,200.0%,74.6%,0.6%,-5.77
schuppenarten kopfhaut,Skin problem,3,225,1.3%,1.86,-80.0%,-23.2%,-3.8%,0.13
wie kann ich pickel loswerden,"Skin problem, Question",3,202,1.5%,4.03,0.0%,-14.8%,1.5%,-1.26
trockene haut an den armen,"Skin problem, Skin type",3,199,1.5%,8.02,0.0%,0.0%,1.5%,8.02
anti juck spray,"Skin problem, Product Category",3,198,1.5%,6.42,0.0%,219.4%,1.5%,-1.35
atopische hautdiathese,Indication,3,197,1.5%,6.42,0.0%,-1.0%,0.0%,1.03
sonnencreme wasserbasis,Product Category,3,195,1.5%,8.1,50.0%,-10.1%,0.6%,-1.26
empfindliche gesichtshaut rötungen,"Skin problem, Skin type",3,194,1.5%,4.86,-25.0%,18.3%,-0.9%,-0.1
wie lange bis pickelmale verschwinden,"Skin problem, Question",3,193,1.6%,4.61,-57.1%,-50.4%,-0.2%,0.12
rosacea sonnencreme gesicht,"Indication, Product Category",3,184,1.6%,8.24,0.0%,0.0%,1.6%,8.24
kopfhautschuppen entfernen,Skin problem,3,181,1.7%,8.51,0.0%,13.8%,-0.2%,3.12
trockene haut bilder,"Skin problem, Skin type",3,175,1.7%,14.8,50.0%,348.7%,-3.4%,-5.46
sonnenschutz wasserbasis,Product Category,3,167,1.8%,7.77,200.0%,297.6%,-0.6%,-1.21
schuppenflechte oder ekzem kopfhaut,"Indication, Question",3,165,1.8%,4.4,-66.7%,13.8%,-4.4%,0.37
hydratisierte haut bedeutung,"Skin problem, Question",3,160,1.9%,3.6,0.0%,344.4%,1.9%,0.82
rote akne flecken,"Indication, Skin problem",3,155,1.9%,4.97,-50.0%,-6.1%,-1.7%,1.73
schuppen wegkratzen,Skin problem,3,154,1.9%,6.87,0.0%,-29.0%,0.6%,0.5
wie entstehen haarschuppen,"Skin problem, Question",3,151,2.0%,5.97,-40.0%,-29.4%,-0.3%,0.73
internationale apotheke hamburg hauptbahnhof,Apotheke,3,148,2.0%,7.5,0.0%,-17.8%,2.0%,0.04
dermatologischer sonnenschutz,Product Category,3,146,2.1%,3.86,200.0%,595.2%,-2.7%,-8.38
dermatologische gesichtscreme,Product Category,3,144,2.1%,7.67,200.0%,-1.4%,1.4%,-1.3
stechen haut,Skin problem,3,142,2.1%,2.14,200.0%,-17.0%,1.5%,-1.54
neurodermitis ekzem unterschied,"Indication, Question",3,138,2.2%,8.5,0.0%,0.0%,2.2%,8.5
sos spray gesicht,"Skin problem, Product Category",3,137,2.2%,7.19,0.0%,158.5%,2.2%,-0.45
rötliche gesichtshaut,Skin problem,3,136,2.2%,6.86,0.0%,1.5%,0.0%,1.25
couperose sonnenschutz,"Indication, Product Category",3,131,2.3%,8.41,0.0%,0.0%,2.3%,8.41
huile de douche deutsch,"Product Category, Product Texture",3,130,2.3%,3.92,0.0%,91.2%,2.3%,0.26
kratzer haut behandeln,Skin problem,3,129,2.3%,4.31,0.0%,61.3%,-1.4%,0.65
apotheke im kaufland rosenheim,Apotheke,3,126,2.4%,3.83,0.0%,20.0%,-0.5%,0.85
hydratisieren,Skin problem,3,125,2.4%,2.56,0.0%,0.0%,2.4%,2.56
akne fettige haut,"Indication, Skin problem, Skin type",3,121,2.5%,4.12,-50.0%,-8.3%,-2.1%,-0.36
wie kann man die haut schützen,Question,3,117,2.6%,3.44,-25.0%,-10.7%,-0.5%,0
schuppen von kopfhaut entfernen,Skin problem,3,113,2.7%,6.93,0.0%,105.5%,2.7%,1.8
gerötetes gesicht ursachen,"Skin problem, Question",3,109,2.8%,11.6,0.0%,0.0%,2.8%,11.6
anti-juckreiz spray neurodermitis,"Indication, Skin problem, Product Category",3,106,2.8%,5.25,-25.0%,1.9%,-1.0%,-2.16
haut stechen,Skin problem,3,105,2.9%,2.6,-50.0%,-9.5%,-2.3%,0.11
sonnenschutz rosazea,"Indication, Product Category",3,105,2.9%,7.78,0.0%,0.0%,2.9%,7.78
fingernagel kratzer narbe,Skin problem,3,104,2.9%,3.71,-70.0%,-62.2%,-0.8%,-0.36
aknenarben rot,"Indication, Skin problem",3,104,2.9%,4.12,0.0%,15.6%,-0.4%,-0.17
arten von pickeln im gesicht,Skin problem,3,103,2.9%,8.09,200.0%,157.5%,0.4%,1.56
sonnenmilch rosacea,"Indication, Product Category",3,100,3.0%,8.12,0.0%,0.0%,3.0%,8.12
atopische haut was ist das,"Indication, Question",3,96,3.1%,4.74,0.0%,0.0%,3.1%,4.74
schuppen an einer stelle kopfhaut,Skin problem,3,96,3.1%,5.44,-25.0%,-48.9%,1.0%,0.51
hautschäden reparieren,Skin problem,3,92,3.3%,2.66,-66.7%,-20.0%,-4.6%,0.42
apotheke im kaufland,Apotheke,3,90,3.3%,5.42,50.0%,119.5%,-1.5%,-5.12
seborrhoisches ekzem hautpflege,"Indication, Product Category",3,90,3.3%,11.28,0.0%,130.8%,3.3%,-0.85
spannungsgefühl haut gesicht,Skin problem,3,85,3.5%,4.25,0.0%,16.4%,-0.6%,-0.09
welche arten von ekzemen gibt es,"Indication, Question",3,81,3.7%,3.53,0.0%,0.0%,3.7%,3.53
hydratisierung,Skin problem,3,80,3.8%,1.88,0.0%,0.0%,3.8%,1.88
rötung nach pickel wegbekommen,Skin problem,3,75,4.0%,4.08,0.0%,0.0%,4.0%,4.08
rosazea sonnenschutz,"Indication, Product Category",3,75,4.0%,8.17,0.0%,0.0%,4.0%,8.17
sonnencreme fürs gesicht bei rosacea,"Indication, Product Category",3,74,4.1%,6.23,0.0%,0.0%,4.1%,6.23
trockene schuppen ursache,"Skin problem, Question",3,74,4.1%,12.76,50.0%,-59.8%,3.0%,2.23
seborrhoisches ekzem vs psoriasis,"Indication, Question",3,69,4.3%,3.67,-57.1%,-1.4%,-5.7%,0.56
sonnencreme seborrhoisches ekzem,"Indication, Product Category",3,69,4.3%,6.94,0.0%,0.0%,4.3%,6.94
plötzlich trockene gesichtshaut,"Skin problem, Skin type",3,69,4.3%,8.87,-25.0%,-13.8%,-0.7%,2.87
sonnenschutz couperose,"Indication, Product Category",3,67,4.5%,9.15,0.0%,0.0%,4.5%,9.15
gesichtshaut rötungen,Skin problem,3,63,4.8%,2.95,0.0%,0.0%,4.8%,2.95
rote akne flecken loswerden,"Indication, Skin problem",3,61,4.9%,3.41,-40.0%,-35.8%,-0.3%,0.13
pickelmale rote flecken,Skin problem,3,60,5.0%,2.92,200.0%,361.5%,-2.7%,0.46
kratzer heilungsdauer,"Skin problem, Question",3,59,5.1%,4.34,0.0%,0.0%,5.1%,4.34
extrem trockene haut körper,"Skin problem, Skin type",3,59,5.1%,13.83,0.0%,-44.9%,5.1%,2.39
hautpflege von dermatologen empfohlen,Product Category,3,56,5.4%,5.64,50.0%,-31.7%,2.9%,-0.82
akne rote flecken wegbekommen,"Indication, Skin problem",3,53,5.7%,2.96,50.0%,60.6%,-0.4%,0.05
ekzem blutet,Indication,3,51,5.9%,5.92,0.0%,0.0%,5.9%,5.92
akne grade,Indication,3,49,6.1%,4.27,200.0%,69.0%,2.7%,-0.25
mizellenwasser neurodermitis,"Indication, Product Category",3,47,6.4%,2.7,0.0%,-14.5%,0.9%,-1.99
apotheke im allee center magdeburg,Apotheke,3,47,6.4%,10.15,0.0%,-16.1%,6.4%,-0.71
gesichtsreinigung produkt,Product Category,3,46,6.5%,26.33,0.0%,0.0%,6.5%,26.33
hyaluronsäure salicylsäure,Product Category,3,45,6.7%,1.8,-57.1%,-49.4%,-1.2%,0.78
wie lange bis kratzer verheilt,"Skin problem, Question",3,45,6.7%,3.56,0.0%,-57.1%,6.7%,-0.28
beste sonnencreme mit bräunungsbeschleuniger,Product Category,3,30,10.0%,2.03,0.0%,0.0%,10.0%,2.03
seborrhoisches ekzem creme test,"Indication, Product Category",3,30,10.0%,18.8,200.0%,76.5%,4.1%,1.21
seborrhoische dermatitis oder schuppenflechte,"Indication, Question",3,29,10.3%,1,-85.7%,-55.4%,-22.0%,0
psoriasis seborrhoischer typ,Indication,3,29,10.3%,1.62,-75.0%,-45.3%,-12.3%,0.41
dehydrierte unreine haut,"Skin problem, Skin type",3,27,11.1%,5.96,0.0%,0.0%,11.1%,5.96
unterschied psoriasis und seborrhoisches ekzem,"Indication, Question",3,18,16.7%,1.39,0.0%,0.0%,16.7%,1.39
hautpflege bei seborrhoischem ekzem,"Indication, Product Category",3,18,16.7%,11.39,0.0%,0.0%,16.7%,11.39
schuppen,Skin problem,2,6693,0.0%,39.51,-90.9%,-57.3%,-0.1%,23.2
atopische dermatitis,Indication,2,5417,0.0%,14.23,0.0%,322.5%,-0.1%,-27.97
hautpflegeprodukte,Product Category,2,4453,0.0%,41.33,-50.0%,84.1%,-0.1%,21.84
apotheke oberstenfeld,Apotheke,2,3594,0.1%,9.28,0.0%,13.1%,0.1%,-0.57
easy apotheke hürth,Apotheke,2,3348,0.1%,8.19,0.0%,26.1%,0.1%,-0.13
